City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,3.44,fog
130,Nhamunda,BR,-2.1861,-56.7131,80.15,60,87,2.93,overcast clouds
131,Vostok,RU,46.4856,135.8833,87.53,49,60,1.32,broken clouds
132,Airai,TL,-8.9266,125.4092,68.58,29,9,2.55,clear sky
133,Kruisfontein,ZA,-34.0033,24.7314,46.9,42,5,8.84,clear sky
134,Salalah,OM,17.0151,54.0924,77.09,100,90,8.05,drizzle
135,Pevek,RU,69.7008,170.3133,37.26,87,77,15.01,broken clouds
136,Peniche,PT,39.3558,-9.3811,66.72,91,51,6.51,broken clouds
137,Hobart,AU,-42.8794,147.3294,46.26,65,40,7.0,light rain
138,Geraldton,AU,-28.7667,114.6,55.81,88,90,8.05,overcast clouds
139,Altay,CN,47.8667,88.1167,69.21,48,0,1.9,clear sky
140,Ngunguru,NZ,-35.6167,174.5,62.17,70,87,18.05,overcast clouds
141,Sawtell,AU,-30.3833,153.1,66.22,35,0,5.75,clear sky
142,Lanxi,CN,29.2195,119.477,76.75,87,100,14.27,light rain
143,Copiapo,CL,-27.3667,-70.3333,49.69,55,1,0.6,clear sky
144,Khorramabad,IR,33.4878,48.3558,80.73,20,2,1.01,clear sky
145,Lewiston,US,44.1003,-70.2148,70.83,76,1,5.75,clear sky
146,Kieta,PG,-6.2167,155.6333,85.24,67,90,3.78,overcast clouds
147,Impfondo,CG,1.6381,18.0667,71.67,77,74,1.88,light rain
148,Dwarka,IN,22.2394,68.9678,82.9,85,100,21.74,overcast clouds
149,Kaitangata,NZ,-46.2817,169.8464,46.92,56,86,5.48,overcast clouds
150,Okhotsk,RU,59.3833,143.3,55.99,94,100,12.64,light rain
151,Emba,KZ,48.8264,58.1442,68.68,43,0,8.19,clear sky
152,Shenzhen,CN,22.5455,114.0683,86.14,90,93,1.92,light rain
153,Cidreira,BR,-30.1811,-50.2056,61.5,76,29,8.48,scattered clouds
154,Corinto,GR,37.9407,22.9573,79.9,45,6,2.95,clear sky
155,Safranbolu,TR,41.2508,32.6942,59.45,90,1,2.44,clear sky
156,Aleksandrov Gay,RU,50.147,48.5704,67.95,57,16,6.91,few clouds
157,Ilebo,CD,-4.3167,20.5833,68.4,49,3,0.98,clear sky
158,Svetlogorsk,BY,52.6333,29.7333,65.98,72,100,0.67,overcast clouds
159,Meulaboh,ID,4.1363,96.1285,76.28,84,97,3.13,overcast clouds
160,Eyl,SO,7.9803,49.8164,80.26,55,87,26.22,overcast clouds
161,Grindavik,IS,63.8424,-22.4338,49.95,93,75,8.05,broken clouds
162,Amos,CA,48.5669,-78.1162,62.58,97,100,14.65,moderate rain
163,Visnes,NO,59.3556,5.2242,61.57,94,1,4.61,clear sky
164,Vardo,NO,70.3705,31.1107,46.2,85,99,27.69,overcast clouds
165,La Ronge,CA,55.1001,-105.2842,68.25,56,75,10.36,broken clouds
166,Yulara,AU,-25.2406,130.9889,55.24,44,46,6.91,scattered clouds
167,Iqaluit,CA,63.7506,-68.5145,46.13,87,75,4.61,broken clouds
168,Ramsar,IR,36.9226,50.6426,80.04,83,90,9.22,overcast clouds
169,Dingtao,CN,35.0683,115.5625,80.89,76,0,5.17,clear sky
170,Diu,IN,20.7141,70.9822,81.43,81,100,15.99,overcast clouds
171,Shihezi,CN,44.3,86.0333,80.65,26,0,3.78,clear sky
172,Hualmay,PE,-11.0964,-77.6139,63.61,82,32,9.57,scattered clouds
173,Dorado,PR,18.4588,-66.2677,81.9,64,44,10.04,scattered clouds
174,Sao Filipe,CV,14.8961,-24.4956,73.99,73,48,8.32,scattered clouds
175,Nuuk,GL,64.1835,-51.7216,41.61,87,20,5.75,few clouds
176,Bandarbeyla,SO,9.4942,50.8122,78.58,66,26,25.05,scattered clouds
177,Saint-Philippe,RE,-21.3585,55.7679,65.75,81,30,5.06,light rain
178,Coihaique,CL,-45.5752,-72.0662,35.55,87,75,4.61,broken clouds
179,Berlevag,NO,70.8578,29.0864,45.12,88,100,26.31,overcast clouds
180,Talara,PE,-4.5772,-81.2719,66.16,83,61,10.58,broken clouds
181,Mount Gambier,AU,-37.8333,140.7667,48.11,87,40,8.05,scattered clouds
182,Harwich,GB,51.9419,1.2844,64.0,95,100,3.0,overcast clouds
183,Faanui,PF,-16.4833,-151.75,78.53,69,54,8.37,light rain
184,Ilulissat,GL,69.2167,-51.1,42.82,87,90,5.75,overcast clouds
185,Inirida,CO,3.8653,-67.9239,73.56,98,100,2.19,overcast clouds
186,Camabatela,AO,-8.1881,15.375,58.06,71,0,3.04,clear sky
187,Matagami,CA,49.7502,-77.6328,60.91,94,90,13.8,moderate rain
188,Pendleton,US,45.6721,-118.7886,97.74,16,1,5.01,clear sky
189,Cabo San Lucas,MX,22.8909,-109.9124,95.5,54,20,8.05,few clouds
190,Gizo,SB,-8.103,156.8419,82.9,73,54,5.19,light rain
191,Flinders,AU,-34.5833,150.8552,56.37,50,24,15.01,few clouds
192,Dali,CN,25.7,100.1833,64.2,91,49,3.13,scattered clouds
193,Dalvik,IS,65.9702,-18.5286,57.13,79,73,3.69,broken clouds
194,Te Anau,NZ,-45.4167,167.7167,50.9,71,100,4.54,overcast clouds
195,Kimbe,PG,-5.5502,150.1429,86.86,61,57,1.54,broken clouds
196,Grand Baie,MU,-20.0182,57.5802,70.27,78,4,5.99,clear sky
197,Port Elizabeth,ZA,-33.918,25.5701,50.92,50,3,9.26,clear sky
198,Golden,US,39.7555,-105.2211,85.48,39,40,1.99,scattered clouds
199,Klaksvik,FO,62.2266,-6.589,50.92,97,53,12.8,broken clouds
200,Bengkulu,ID,-3.8004,102.2655,75.99,82,22,3.62,few clouds
201,San Quintin,MX,30.4833,-115.95,71.73,75,94,10.18,overcast clouds
202,Spentrup,DK,56.537,10.0379,65.95,92,43,8.1,scattered clouds
203,Port Moresby,PG,-9.4431,147.1797,72.82,100,40,3.44,haze
204,Svetlaya,RU,46.5389,138.3297,76.55,79,66,6.46,broken clouds
205,Artyom,AZ,40.4723,50.333,78.94,80,2,24.43,clear sky
206,Linhares,BR,-19.3911,-40.0722,62.58,75,2,2.71,clear sky
207,Constitucion,CL,-35.3333,-72.4167,51.82,89,99,16.58,overcast clouds
208,Hasaki,JP,35.7333,140.8333,84.29,77,0,10.96,clear sky
209,Rosetta,EG,31.4044,30.4164,76.71,78,0,11.43,clear sky
210,Zeya,RU,53.75,127.2667,68.9,95,99,5.73,light rain
211,Menongue,AO,-14.6585,17.691,49.95,51,0,4.59,clear sky
212,Northam,GB,51.0333,-4.2167,64.65,93,94,5.57,overcast clouds
213,Touros,BR,-5.1989,-35.4608,76.1,78,0,15.73,clear sky
214,Leningradskiy,RU,69.3833,178.4167,37.04,96,100,6.02,overcast clouds
215,Lalibela,ET,12.0333,39.0333,58.53,86,98,0.27,light rain
216,Katsuura,JP,35.1333,140.3,86.14,72,3,10.47,clear sky
217,Gornopravdinsk,RU,60.05,69.9,55.87,89,100,1.21,overcast clouds
218,Jalu,LY,29.0331,21.5482,77.02,57,0,6.98,clear sky
219,Baruun-Urt,MN,46.6806,113.2792,69.22,47,100,10.8,overcast clouds
220,Valparaiso,CL,-33.0393,-71.6273,54.52,79,75,5.75,broken clouds
221,Ibotirama,BR,-12.1853,-43.2206,72.61,55,71,7.0,broken clouds
222,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,91,40,16.11,scattered clouds
223,Akhtubinsk,RU,48.2795,46.1722,70.25,49,1,7.02,clear sky
224,Pangnirtung,CA,66.1451,-65.7125,49.75,78,100,11.43,light rain
225,Fairbanks,US,64.8378,-147.7164,67.23,62,75,4.0,broken clouds
226,Kenai,US,60.5544,-151.2583,64.02,89,90,13.8,overcast clouds
227,Naantali,FI,60.4674,22.0243,59.86,93,0,0.0,clear sky
228,Tiksi,RU,71.6872,128.8694,43.86,78,87,5.48,overcast clouds
229,La Palma,US,33.8464,-118.0467,95.02,67,1,7.0,clear sky
230,Olinda,BR,-8.0089,-34.8553,69.53,88,75,9.22,broken clouds
231,Namatanai,PG,-3.6667,152.4333,84.6,68,8,3.04,clear sky
232,Dunda,TZ,-8.1167,34.25,56.98,69,0,9.26,clear sky
233,Vyshestebliyevskaya,RU,45.1961,37.0181,66.61,60,0,10.92,clear sky
234,Kaliganj,BD,23.4095,89.1402,80.89,91,79,3.11,broken clouds
235,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,83,20,15.39,few clouds
236,Jumla,NP,29.2747,82.1838,65.03,91,100,1.81,overcast clouds
237,Chumikan,RU,54.7183,135.315,60.42,95,93,2.15,light rain
238,San Vicente,AR,-26.6167,-54.1333,62.76,59,1,4.5,clear sky
239,Souillac,MU,-20.5167,57.5167,70.18,78,40,11.5,scattered clouds
240,Pochutla,MX,15.7432,-96.4661,87.82,82,67,3.83,broken clouds
241,Codrington,AU,-38.2667,141.9667,47.66,80,100,18.07,overcast clouds
242,Plettenberg Bay,ZA,-34.0527,23.3716,52.18,39,8,5.97,clear sky
243,Ginda,IN,30.6945,78.4932,68.25,98,100,0.69,overcast clouds
244,Ajdabiya,LY,30.7554,20.2263,76.75,67,0,9.26,clear sky
245,Vuktyl,RU,63.8567,57.3094,41.11,95,24,6.73,few clouds
246,Mount Isa,AU,-20.7333,139.5,64.17,25,11,11.5,few clouds
247,Manokwari,ID,-0.8667,134.0833,80.71,72,100,6.42,overcast clouds
248,Ixtapa,MX,20.7,-105.2,87.22,66,75,9.22,broken clouds
249,Dasoguz,TM,41.8363,59.9666,77.11,50,0,6.91,clear sky
250,Nanortalik,GL,60.1432,-45.2371,43.18,96,99,9.6,overcast clouds
251,Dongsheng,CN,39.8161,109.9776,74.59,56,76,20.6,broken clouds
252,Westport,US,41.1415,-73.3579,76.62,61,1,8.01,clear sky
253,Rio Gallegos,AR,-51.6226,-69.2181,37.45,75,0,8.05,clear sky
