City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Artyom,AZ,78.94,clear sky,40.4723,50.333,Merdan Respect
206,Linhares,BR,62.58,clear sky,-19.3911,-40.0722,Hotel Conceição
207,Constitucion,CL,51.82,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
208,Hasaki,JP,84.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
209,Rosetta,EG,76.71,clear sky,31.4044,30.4164,Green Valley
210,Zeya,RU,68.9,light rain,53.75,127.2667,Kapital Inn
212,Northam,GB,64.65,overcast clouds,51.0333,-4.2167,Durrant House Hotel
213,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
215,Lalibela,ET,58.53,light rain,12.0333,39.0333,Honey Land Hotel Lalibela
216,Katsuura,JP,86.14,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
217,Gornopravdinsk,RU,55.87,overcast clouds,60.05,69.9,Burovik
218,Jalu,LY,77.02,clear sky,29.0331,21.5482,صاحبة الفخامة
219,Baruun-Urt,MN,69.22,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
220,Valparaiso,CL,54.52,broken clouds,-33.0393,-71.6273,Hotel Ultramar
221,Ibotirama,BR,72.61,broken clouds,-12.1853,-43.2206,Serra do Rio Hotel
222,Los Llanos De Aridane,ES,67.75,scattered clouds,28.6585,-17.9182,Valle Aridane
223,Akhtubinsk,RU,70.25,clear sky,48.2795,46.1722,Vzlet
225,Fairbanks,US,67.23,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
226,Kenai,US,64.02,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
227,Naantali,FI,59.86,clear sky,60.4674,22.0243,Naantali Spa Hotel & Resort
229,La Palma,US,95.02,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
230,Olinda,BR,69.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
231,Namatanai,PG,84.6,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
234,Kaliganj,BD,80.89,broken clouds,23.4095,89.1402,Hasnat Palace
235,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
236,Jumla,NP,65.03,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
237,Chumikan,RU,60.42,light rain,54.7183,135.315,Fortuna
238,San Vicente,AR,62.76,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
239,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
240,Pochutla,MX,87.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
242,Plettenberg Bay,ZA,52.18,clear sky,-34.0527,23.3716,Thanda Vista B&B
243,Ginda,IN,68.25,overcast clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
244,Ajdabiya,LY,76.75,clear sky,30.7554,20.2263,Almadina Hotel
246,Mount Isa,AU,64.17,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
247,Manokwari,ID,80.71,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
248,Ixtapa,MX,87.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
249,Dasoguz,TM,77.11,clear sky,41.8363,59.9666,Ташауз Отел
251,Dongsheng,CN,74.59,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
252,Westport,US,76.62,clear sky,41.1415,-73.3579,The Westport Inn
255,Tuktoyaktuk,CA,64.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
256,Iranshahr,IR,86.34,scattered clouds,27.2025,60.6848,نیک سرشت
257,Shimoda,JP,84.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
261,Sankeshwar,IN,73.04,overcast clouds,16.2667,74.4833,Rajdhani Hotel
262,Tecoanapa,MX,83.23,overcast clouds,16.5167,-98.75,Hotel Manglares
263,Amahai,ID,79.12,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
264,Alta Floresta,BR,76.5,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
265,Phonhong,LA,78.62,overcast clouds,18.5007,102.4166,Manyvong Guest House
268,Bubaque,GW,78.15,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
269,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
270,Sergeyevka,KZ,64.78,light rain,53.88,67.4158,Amina
271,Luoyang,CN,81.3,light rain,34.6836,112.4536,易家国际青年旅舍
272,Santa Rosa,PH,80.91,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
273,La Romana,DO,82.13,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
275,Richmond,US,78.91,broken clouds,37.5538,-77.4603,The Jefferson Hotel
276,Hofn,IS,52.18,clear sky,64.2539,-15.2082,Hótel Höfn
277,Kosai,JP,87.08,scattered clouds,34.7105,137.5316,Hotel Route Inn Hamanako
278,Manoel Urbano,BR,78.24,clear sky,-8.8389,-69.2597,Baixada Beira Rio
279,Cabedelo,BR,72.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
280,Koszalin,PL,65.68,broken clouds,54.1944,16.1722,Club 2CV
281,Ginir,ET,55.67,overcast clouds,7.1333,40.7,Sura Dare Village
282,Carndonagh,IE,58.12,broken clouds,55.25,-7.2667,Riversdale Country House
283,Bethel,US,74.71,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
284,Kaoma,ZM,51.67,clear sky,-14.7833,24.8,KAOMA AIRPORT
285,Lebu,CL,51.26,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
286,Imbituba,BR,64.81,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
287,Leticia,CO,75.25,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
288,Sohag,EG,82.27,clear sky,26.557,31.6948,Civil Registry - Sohag 1
289,Pemangkat,ID,82.54,broken clouds,1.1667,108.9667,Ramah Kost KITA
290,Kamyaran,IR,71.55,clear sky,34.7956,46.9355,Mobile Adab موبایل ادب
291,Mocuba,MZ,58.96,light rain,-16.8392,36.9856,Phama Lodge
293,Marsh Harbour,BS,79.56,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
294,Khawhai,IN,63.46,overcast clouds,23.3667,93.1167,Homestay Khawhai
295,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
296,Inhambane,MZ,64.18,overcast clouds,-23.865,35.3833,Oceano
297,Griffith,US,86.14,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
298,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
299,Maningrida,AU,81.73,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
301,Raudeberg,NO,59.2,broken clouds,61.9875,5.1352,Nordre Silda.
302,Chepareria,KE,60.57,light rain,1.3077,35.2039,Hamza Lodge
303,La Maddalena,IT,75.36,few clouds,41.2142,9.4083,Hotel Il Gabbiano
304,Rabaul,PG,83.16,scattered clouds,-4.1967,152.1721,Rabaul Hotel
305,Kodiak,US,60.31,scattered clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
306,Lar,IN,83.1,few clouds,26.2039,83.9717,Ovaiskarni ward Lar
308,Vao,NC,72.01,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
310,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
312,Yashkul,RU,76.53,scattered clouds,46.1711,45.3435,Bon Voyazh
313,Waddan,LY,73.83,clear sky,29.1614,16.139,محل الشريف محمد العايب
314,Sisophon,KH,75.42,light rain,13.5859,102.9737,Pyramid Hotel
315,Singida,TZ,54.46,clear sky,-4.8167,34.75,Kampala Lodge
316,Radom,PL,69.75,broken clouds,51.4025,21.1471,Hotel Iskra - Radom
317,Porbandar,IN,81.61,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
318,Imeni Poliny Osipenko,RU,86.41,overcast clouds,52.4201,136.4853,Yubileynaya
319,Port Hedland,AU,66.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
320,Nawa,IN,85.42,scattered clouds,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
321,Maravilha,BR,70.21,few clouds,-26.7608,-53.1725,Maravilha Palace Hotel
322,Awbari,LY,78.62,clear sky,26.5921,12.7805,فندق أوباري
323,Shingu,JP,85.19,overcast clouds,33.7333,135.9833,Shingu UI Hotel
324,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
325,Petatlan,MX,89.4,clear sky,17.5167,-101.2667,Hotel California Petatlán
326,Nikolskoye,RU,58.8,overcast clouds,59.7035,30.7861,Tourist House - Sablino
328,Naze,JP,81.52,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
329,Aksu,CN,84.72,clear sky,41.1231,80.2644,Pudong Holiday Hotel
330,Aras,ES,61.21,overcast clouds,42.5617,-2.356,Jardines de Viana Spa
331,Palauig,PH,82.04,overcast clouds,15.435,119.9045,Myhousebythesea
332,Teknaf,BD,81.0,overcast clouds,20.8624,92.3058,Forestry Guesthouse
335,Sitka,US,57.09,light rain,57.0531,-135.33,Westmark Sitka
336,Oussouye,SN,82.49,overcast clouds,12.485,-16.5469,Auberge du Routard
337,Conde,BR,71.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
338,Charlestown,AU,57.72,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
339,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
340,Victoria,HK,86.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
341,Nicoya,CR,74.75,overcast clouds,10.1483,-85.452,Guayacan Real
342,Chickasha,US,95.0,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
343,Yarim,YE,59.68,overcast clouds,14.298,44.3779,وليد المسوري ابو اسد
344,Eydhafushi,MV,81.91,overcast clouds,5.1033,73.0708,Soneva Fushi
345,Faya,SA,64.51,broken clouds,18.3851,42.4509,مقبرة ال مجمل
346,Coquimbo,CL,53.33,clear sky,-29.9533,-71.3436,Punto de encuentro
347,Jefferson City,US,92.82,clear sky,38.5767,-92.1735,DoubleTree by Hilton Hotel Jefferson City
348,Kaspiysk,RU,75.38,scattered clouds,42.8816,47.6392,Alima Hostel
349,Trud,BG,67.19,few clouds,42.2333,24.7333,Къща ХВ
350,Singaparna,ID,72.55,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
351,Ahipara,NZ,59.27,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
352,Mococa,BR,62.46,clear sky,-21.4678,-47.0047,Hospedaria Sonhar
353,Otane,NZ,53.38,clear sky,-39.8833,176.6333,Ludlow Farmstay
354,Mankera,PK,94.87,clear sky,31.3866,71.4407,Haider Wood Supplier
355,Lorengau,PG,84.34,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
356,Sambava,MG,67.14,light rain,-14.2667,50.1667,Melrose
359,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
360,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
361,Kempsey,AU,63.95,few clouds,-31.0833,152.8333,Park Drive Motel
362,Huntingdon,GB,62.92,overcast clouds,52.3305,-0.1865,Huntingdon Marriott Hotel
